[2026-06-01T23:08:40] final audit runner start
[2026-06-01T23:56:39] run greedy_corr_0.3_n10_icir_market_cap_beta n=10 method=icir neutralize=market_cap_beta
[2026-06-01T23:57:28] done greedy_corr_0.3_n10_icir_market_cap_beta success=True valid=10/10 sharpe=4.342
[2026-06-01T23:57:28] run greedy_corr_0.3_n10_ridge_none n=10 method=ridge neutralize=none
[2026-06-01T23:58:18] done greedy_corr_0.3_n10_ridge_none success=True valid=10/10 sharpe=3.906
[2026-06-01T23:58:18] run greedy_corr_0.3_n10_ridge_market_cap n=10 method=ridge neutralize=market_cap
[2026-06-01T23:59:08] done greedy_corr_0.3_n10_ridge_market_cap success=True valid=10/10 sharpe=4.037
[2026-06-01T23:59:08] run greedy_corr_0.3_n10_ridge_market_cap_regression n=10 method=ridge neutralize=market_cap_regression
[2026-06-01T23:59:57] done greedy_corr_0.3_n10_ridge_market_cap_regression success=True valid=10/10 sharpe=4.535
[2026-06-01T23:59:57] run greedy_corr_0.3_n10_ridge_beta n=10 method=ridge neutralize=beta
[2026-06-02T00:01:06] done greedy_corr_0.3_n10_ridge_beta success=True valid=10/10 sharpe=4.200
[2026-06-02T00:01:06] run greedy_corr_0.3_n10_ridge_market_cap_beta n=10 method=ridge neutralize=market_cap_beta
[2026-06-02T00:02:24] done greedy_corr_0.3_n10_ridge_market_cap_beta success=True valid=10/10 sharpe=4.869
[2026-06-02T00:02:24] run greedy_corr_0.5_n10_equal_none n=10 method=equal neutralize=none
[2026-06-02T00:03:06] done greedy_corr_0.5_n10_equal_none success=True valid=10/10 sharpe=9.438
[2026-06-02T00:03:06] run greedy_corr_0.5_n10_equal_market_cap n=10 method=equal neutralize=market_cap
[2026-06-02T00:03:47] done greedy_corr_0.5_n10_equal_market_cap success=True valid=10/10 sharpe=9.565
[2026-06-02T00:03:47] run greedy_corr_0.5_n10_equal_market_cap_regression n=10 method=equal neutralize=market_cap_regression
[2026-06-02T00:04:28] done greedy_corr_0.5_n10_equal_market_cap_regression success=True valid=10/10 sharpe=9.578
[2026-06-02T00:04:28] run greedy_corr_0.5_n10_equal_beta n=10 method=equal neutralize=beta
[2026-06-02T00:05:07] done greedy_corr_0.5_n10_equal_beta success=True valid=10/10 sharpe=9.240
[2026-06-02T00:05:07] run greedy_corr_0.5_n10_equal_market_cap_beta n=10 method=equal neutralize=market_cap_beta
[2026-06-02T00:05:38] done greedy_corr_0.5_n10_equal_market_cap_beta success=True valid=10/10 sharpe=9.532
[2026-06-02T00:05:38] run greedy_corr_0.5_n10_icir_none n=10 method=icir neutralize=none
[2026-06-02T00:06:41] done greedy_corr_0.5_n10_icir_none success=True valid=10/10 sharpe=6.109
[2026-06-02T00:06:41] run greedy_corr_0.5_n10_icir_market_cap n=10 method=icir neutralize=market_cap
[2026-06-02T00:07:40] done greedy_corr_0.5_n10_icir_market_cap success=True valid=10/10 sharpe=6.110
[2026-06-02T00:07:40] run greedy_corr_0.5_n10_icir_market_cap_regression n=10 method=icir neutralize=market_cap_regression
[2026-06-02T00:08:36] done greedy_corr_0.5_n10_icir_market_cap_regression success=True valid=10/10 sharpe=5.943
[2026-06-02T00:08:36] run greedy_corr_0.5_n10_icir_beta n=10 method=icir neutralize=beta
[2026-06-02T00:09:31] done greedy_corr_0.5_n10_icir_beta success=True valid=10/10 sharpe=6.044
[2026-06-02T00:09:31] run greedy_corr_0.5_n10_icir_market_cap_beta n=10 method=icir neutralize=market_cap_beta
[2026-06-02T00:10:28] done greedy_corr_0.5_n10_icir_market_cap_beta success=True valid=10/10 sharpe=5.945
[2026-06-02T00:10:28] run greedy_corr_0.5_n10_ridge_none n=10 method=ridge neutralize=none
[2026-06-02T00:11:23] done greedy_corr_0.5_n10_ridge_none success=True valid=10/10 sharpe=7.213
[2026-06-02T00:11:23] run greedy_corr_0.5_n10_ridge_market_cap n=10 method=ridge neutralize=market_cap
[2026-06-02T00:12:30] done greedy_corr_0.5_n10_ridge_market_cap success=True valid=10/10 sharpe=7.084
[2026-06-02T00:12:30] run greedy_corr_0.5_n10_ridge_market_cap_regression n=10 method=ridge neutralize=market_cap_regression
[2026-06-02T00:13:35] done greedy_corr_0.5_n10_ridge_market_cap_regression success=True valid=10/10 sharpe=7.216
[2026-06-02T00:13:35] run greedy_corr_0.5_n10_ridge_beta n=10 method=ridge neutralize=beta
[2026-06-02T00:14:59] done greedy_corr_0.5_n10_ridge_beta success=True valid=10/10 sharpe=7.466
[2026-06-02T00:14:59] run greedy_corr_0.5_n10_ridge_market_cap_beta n=10 method=ridge neutralize=market_cap_beta
[2026-06-02T00:16:08] done greedy_corr_0.5_n10_ridge_market_cap_beta success=True valid=10/10 sharpe=7.392
[2026-06-02T00:16:09] run greedy_corr_0.7_n10_equal_none n=10 method=equal neutralize=none
[2026-06-02T00:16:35] done greedy_corr_0.7_n10_equal_none success=True valid=10/10 sharpe=9.245
[2026-06-02T00:16:35] run greedy_corr_0.7_n10_equal_market_cap n=10 method=equal neutralize=market_cap
[2026-06-02T00:17:02] done greedy_corr_0.7_n10_equal_market_cap success=True valid=10/10 sharpe=9.338
[2026-06-02T00:17:02] run greedy_corr_0.7_n10_equal_market_cap_regression n=10 method=equal neutralize=market_cap_regression
[2026-06-02T00:17:32] done greedy_corr_0.7_n10_equal_market_cap_regression success=True valid=10/10 sharpe=9.070
[2026-06-02T00:17:32] run greedy_corr_0.7_n10_equal_beta n=10 method=equal neutralize=beta
[2026-06-02T00:18:01] done greedy_corr_0.7_n10_equal_beta success=True valid=10/10 sharpe=8.969
[2026-06-02T00:18:01] run greedy_corr_0.7_n10_equal_market_cap_beta n=10 method=equal neutralize=market_cap_beta
[2026-06-02T00:18:29] done greedy_corr_0.7_n10_equal_market_cap_beta success=True valid=10/10 sharpe=8.884
[2026-06-02T00:18:29] run greedy_corr_0.7_n10_icir_none n=10 method=icir neutralize=none
[2026-06-02T00:19:22] done greedy_corr_0.7_n10_icir_none success=True valid=10/10 sharpe=6.541
[2026-06-02T00:19:22] run greedy_corr_0.7_n10_icir_market_cap n=10 method=icir neutralize=market_cap
[2026-06-02T00:20:16] done greedy_corr_0.7_n10_icir_market_cap success=True valid=10/10 sharpe=6.409
[2026-06-02T00:20:16] run greedy_corr_0.7_n10_icir_market_cap_regression n=10 method=icir neutralize=market_cap_regression
[2026-06-02T00:21:09] done greedy_corr_0.7_n10_icir_market_cap_regression success=True valid=10/10 sharpe=6.383
[2026-06-02T00:21:09] run greedy_corr_0.7_n10_icir_beta n=10 method=icir neutralize=beta
